sample_name	bioproject
SRR17868041	PRJNA802976
SRR17868042	PRJNA802976
SRR17868043	PRJNA802976
SRR17868044	PRJNA802976
SRR17868045	PRJNA802976
SRR17868046	PRJNA802976
SRR17868047	PRJNA802976
SRR17868048	PRJNA802976
SRR17868049	PRJNA802976
SRR17868050	PRJNA802976
SRR17868051	PRJNA802976
SRR17868052	PRJNA802976
SRR17868053	PRJNA802976
SRR17868054	PRJNA802976
SRR17868055	PRJNA802976
SRR17868056	PRJNA802976
SRR17868057	PRJNA802976
SRR17868058	PRJNA802976
SRR17868059	PRJNA802976
SRR17868060	PRJNA802976
SRR17868061	PRJNA802976
SRR17868062	PRJNA802976
SRR17868063	PRJNA802976
SRR17868064	PRJNA802976
SRR17868065	PRJNA802976
SRR17868066	PRJNA802976
SRR17868067	PRJNA802976
SRR17868068	PRJNA802976
SRR17868069	PRJNA802976
SRR17868070	PRJNA802976
SRR17868071	PRJNA802976
SRR17868072	PRJNA802976
SRR17868073	PRJNA802976
SRR17868074	PRJNA802976
SRR17868075	PRJNA802976
SRR17868076	PRJNA802976
SRR17868077	PRJNA802976
SRR17868078	PRJNA802976
SRR17868079	PRJNA802976
SRR17868080	PRJNA802976
SRR17868081	PRJNA802976
SRR17868082	PRJNA802976
SRR17868083	PRJNA802976
SRR17868084	PRJNA802976
SRR17868085	PRJNA802976
SRR17868086	PRJNA802976
SRR17868087	PRJNA802976
SRR17868088	PRJNA802976
SRR17868089	PRJNA802976
SRR17868090	PRJNA802976
SRR17868091	PRJNA802976
SRR17868092	PRJNA802976
SRR17868093	PRJNA802976
SRR17868094	PRJNA802976
SRR23602723	PRJNA937707
SRR23602724	PRJNA937707
SRR23602725	PRJNA937707
SRR23602726	PRJNA937707
SRR23602727	PRJNA937707
SRR23602728	PRJNA937707
SRR23602729	PRJNA937707
SRR23602730	PRJNA937707
SRR23602731	PRJNA937707
SRR23602732	PRJNA937707
SRR23602733	PRJNA937707
SRR23602734	PRJNA937707
SRR23602735	PRJNA937707
SRR23602736	PRJNA937707
SRR23602737	PRJNA937707
SRR23602738	PRJNA937707
SRR23602739	PRJNA937707
SRR23602740	PRJNA937707
SRR23602741	PRJNA937707
SRR23602742	PRJNA937707
SRR23602743	PRJNA937707
SRR23602744	PRJNA937707
SRR23602745	PRJNA937707
SRR23602746	PRJNA937707
SRR23602747	PRJNA937707
SRR23602748	PRJNA937707
SRR23602749	PRJNA937707
SRR23602750	PRJNA937707
SRR23602751	PRJNA937707
SRR23602752	PRJNA937707
SRR23602753	PRJNA937707
SRR23602754	PRJNA937707
SRR23602755	PRJNA937707
SRR23602756	PRJNA937707
SRR23602757	PRJNA937707
SRR23602758	PRJNA937707
SRR23602759	PRJNA937707
SRR23602760	PRJNA937707
SRR23602761	PRJNA937707
SRR23602762	PRJNA937707
SRR23602763	PRJNA937707
SRR11011261	PRJNA589182
SRR11011262	PRJNA589182
SRR11011263	PRJNA589182
SRR11011264	PRJNA589182
SRR11011265	PRJNA589182
SRR11011266	PRJNA589182
SRR11011267	PRJNA589182
SRR11011268	PRJNA589182
SRR11011269	PRJNA589182
SRR11011270	PRJNA589182
SRR11011271	PRJNA589182
SRR11011272	PRJNA589182
SRR11011273	PRJNA589182
SRR11011274	PRJNA589182
SRR11011275	PRJNA589182
SRR11011276	PRJNA589182
SRR11011277	PRJNA589182
SRR11011278	PRJNA589182
SRR11011279	PRJNA589182
SRR11011280	PRJNA589182
SRR11011281	PRJNA589182
SRR11011282	PRJNA589182
SRR11011283	PRJNA589182
SRR11011284	PRJNA589182
SRR11011285	PRJNA589182
SRR11011286	PRJNA589182
SRR11011287	PRJNA589182
SRR11011288	PRJNA589182
SRR11011289	PRJNA589182
SRR11011290	PRJNA589182
SRR11011291	PRJNA589182
SRR11011292	PRJNA589182
SRR11011293	PRJNA589182
SRR11011294	PRJNA589182
